key	value
10000635-joel_michaely	0
10001860-sam_harris	1
10002254-masi_oka	2
10004441-rob_garrison	3
1000812-kenny_baker	4
1001257-peter_berg	5
1002220-michael_byrne	6
1003427-brian_cox	7
1003881-philip_davis	8
1004732-chris_elliott	9
1005301-robert_forster	10
1006013-keith_gordon	11
1006628-richard_harris	12
1007364-ian_hunter	13
1007769-ben_johnson	14
1008767-jessica_lange	15
1008946-christopher_lee	16
1009134-richard_lewis	17
1010703-john_mills	18
1010988-masayuki_mori	19
1011039-david_morse	20
1011621-j_pat_omalley	21
1011963-michael_parks	22
1014038-george_segal	23
1014472-charles_smith	24
1014905-james_stewart	25
1015317-elizabeth_taylor	26
1015742-michael_tucker	27
1016342-david_warner	28
1016976-ben_wright	29
1018848-steve_harris	30
1019197-john_bloom	31
1020576-john_finn	32
1022918-andrew_davis	33
1026966-tone_loc	34
1027569-icet	35
1029143-marc_anthony	36
1033789-michelle_williams	37
1044156-king_donovan	38
1045105-todd_phillips	39
1048166-shawn_levy	40
1053077-graham_greene	41
1053644-david_cross	42
1054339-robert_bauer	43
1054969-pamela_gray	44
1055159-michael_moore	45
1055355-chris_ellis	46
1055423-steve_perry	47
1057099-hugo_haas	48
1057995-gerry_becker	49
1058012-john_cassini	50
1058893-alan_marshall	51
1060389-peter_greene	52
1062172-charles_farrell	53
1062213-james_brown	54
1063598-marian_seldes	55
1064713-helena_kallianiotes	56
1065320-richard_jones	57
1067005-tom_wright	58
1072828-john_hoyt	59
1087418-jerry_adler	60
1088175-martin_donovan	61
1103735-sting	62
1119673-eric_roberts	63
1129369-tom_green	64
1129989-helene_de_fougerolles	65
1131130-anthony_anderson	66
1132769-paul_schneider	67
1132960-ja_rule	68
1135469-jamie_bell	69
1135585-tommy_flanagan	70
1137982-don_johnson	71
1143335-john_hamilton	72
1144556-diane_lane	73
1144643-james_burke	74
1147972-franky_g	75
1150240-wayne_kramer	76
1151937-logan_lerman	77
1153471-patrick_wilson	78
1156997-reno	79
1157448-robert_clark	80
1167337-milo_ventimiglia	81
1167802-kate_mara	82
1168943-paul_scheer	83
1170066-kevin_dunn	84
1171622-eddie_jones	85
1174362-holly_valance	86
1174386-mark_ivanir	87
1177693-jessica_stroup	88
1177928-kathryn_hahn	89
1178113-peter_gallagher	90
1179315-jimmy_jean_louis	91
1179958-deborah_theaker	92
1180560-alex_neuberger	93
1181059-chris_messina	94
1181330-jim_davis	95
1181353-yul_vazquez	96
1181454-bryan_bertino	97
1181987-gemma_ward	98
1183366-michael_kelly	99
1186730-chad_lindberg	100
1192565-richard_bull	101
1193727-gabriel_noble	102
1196862-nick_gomez	103
1198302-lucy_gordon	104
1198969-liz_smith	105
1208659-jason_lee	106
1209748-juan_fernandez	107
162659443	108
162693957	109
770781823	110
aaron_eckhart	111
aaron_lustig	112
aaron_michael_lacey	113
aaron_norris	114
aaron_sillis	115
aaron_staton	116
abbie_cornish	117
abel_ferrara	118
abhijati_jusakul	119
adam-aleximalle	120
adam_arlukiewicz	121
adam_brody	122
adam_garcia	123
adam_goldberg	124
adam_hannbyrd	125
adam_lavorgna	126
adam_pudney	127
adam_sandler	128
adam_trese	129
adewale_akinnouyeagbaje	130
adia_beckford	131
adrian-scarborough	132
adrian_lester	133
adrien_brody	134
adrienne_howe	135
adrienne_shelly	136
agnes_jaoui	137
agnes_varda	138
agnieszka_holland	139
aharon-ipale	140
aida_turturro	141
aidan_quinn	142
aimee_graham	143
aisha_tyler	144
aixa_clemente	145
ajay_naidu	146
akemi-negishi	147
akira_kurosawa	148
al_israel	149
al_pacino	150
al_scott	151
al_stetson	152
al_waxman	153
alain_chabat	154
alain_resnais	155
alan-badel	156
alan-blumenfeld	157
alan_alda	158
alan_arkin	159
alan_bates	160
alan_cumming	161
alan_dale	162
alan_hale	163
alan_j_pakula	164
alan_king	165
alan_marshal	166
alan_reed	167
alan_reed_sr	168
alan_rickman	169
alan_ruck	170
alan_rudolph	171
alan_young	172
albert_brooks	173
albert_carrier	174
albert_delpy	175
albert_finney	176
albert_paulsen	177
albie-woodington	178
alec-roberts	179
alec_baldwin	180
alec_guinness	181
alec_mann	182
aleksandra_grdic	183
alessandro_nivola	184
alex-norton	185
alex_d_linz	186
alex_fisher	187
alex_frost	188
alex_jennings	189
alex_layton	190
alex_oloughlin	191
alex_rocco	192
alexandra_holden	193
alexis_arquette	194
alexis_dziena	195
alfie_owen	196
alfonso_cuaron	197
alfre_woodard	198
ali_larter	199
alice_krige	200
alicia_silverstone	201
alicia_witt	202
alimi_ballard	203
alison_elliott	204
alison_lohman	205
alison_sealy_smith	206
alison_skilbeck	207
alison_steadman	208
alix_koromzay	209
allen_covert	210
allen_garfield	211
allen_jenkins	212
allison_janney	213
alma_felix	214
alphonse_philippe_mouzon	215
alvin_keith	216
alyson_hannigan	217
alyson_reed	218
alyson_stoner	219
